RID,Reaction Link,Records,Reactants,Products,Reactants_List,Products_List,Reactants_SIDs_List,Products_SIDs_List,Products_Available,Status_50,Status_75,Status_100,ReactionOrder,ActivationEnergy,ReactantCID,ProductCID,FeatureVector
23449,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=3315375&r2=0&r3=0&r4=0&p0=630080&p1=2229074&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + Â·CH,CO + Â·CH3,"['CH2O', '·CH']","['CO', '·CH3']","[5375, 10960]","[6775, 11147]",TRUE,TRUE,TRUE,TRUE,2,,"[712, -1]","[281, 3034819]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0. -1.  0.  0.  0.  0.]"
23450,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=3315375&r2=0&r3=0&r4=0&p0=463514&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + Â·CH,H2C=C=O + HÂ·,"['CH2O', '·CH']","['H2C=C=O', 'H·']","[5375, 10960]","[7946, 8457]",TRUE,TRUE,TRUE,TRUE,2,,"[712, -1]","[10038, 5362549]","[ 0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 -1.  0.  0.  0.  0.  0.]"
23454,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=3170830&r2=0&r3=0&r4=0&p0=2597446&p1=7722841&p2=0&p3=0&p4=0&expandResults=true&,16,CH2O + HO2,HCO + H2O2,"['CH2O', 'HO2']","['HCO', 'H2O2']","[5375, 8230]","[8152, 7990]",TRUE,TRUE,TRUE,TRUE,2,43260,"[712, 520535]","[123370, 784]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0. -1.  0.  1.  0.  0.]"
23455,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=3170830&r2=0&r3=0&r4=0&p0=2597435&p1=7782447&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + HO2,(Â·)CH2OH + O2,"['CH2O', 'HO2']","['(·)CH2OH', 'O2']","[5375, 8230]","[1209, 8924]",TRUE,TRUE,TRUE,TRUE,2,80000,"[712, 520535]","[137654, 977]","[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0. -1.  0.  1.  0.  0.]"
23457,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=3170692&r2=0&r3=0&r4=0&p0=75070&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + CH3CO,CH3CHO + HCO,"['CH2O', 'CH3CO']","['CH3CHO', 'HCO']","[5375, 6264]","[6256, 8152]",TRUE,TRUE,TRUE,TRUE,2,54000,"[712, 137849]","[177, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23462,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2669898&r2=0&r3=0&r4=0&p0=630080&p1=2025561&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + C2H3,CO + Â·C2H5,"['CH2O', 'C2H3']","['CO', '·C2H5']","[5375, 3543]","[6775, 10935]",TRUE,TRUE,TRUE,TRUE,2,,"[712, 123166]","[281, 123138]","[ 0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23463,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2669898&r2=0&r3=0&r4=0&p0=463514&p1=2229074&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + C2H3,H2C=C=O + Â·CH3,"['CH2O', 'C2H3']","['H2C=C=O', '·CH3']","[5375, 3543]","[7946, 11147]",TRUE,TRUE,TRUE,TRUE,2,,"[712, 123166]","[10038, 3034819]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23465,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2669898&r2=0&r3=0&r4=0&p0=74862&p1=2597435&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + C2H3,C2H2 + (Â·)CH2OH,"['CH2O', 'C2H3']","['C2H2', '(·)CH2OH']","[5375, 3543]","[3537, 1209]",TRUE,TRUE,TRUE,TRUE,2,,"[712, 123166]","[6326, 137654]","[ 0.  0.  1. -1.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  1.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23466,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2669898&r2=0&r3=0&r4=0&p0=74851&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,4,CH2O + C2H3,C2H4 + HCO,"['CH2O', 'C2H3']","['C2H4', 'HCO']","[5375, 3543]","[3548, 8152]",TRUE,TRUE,TRUE,TRUE,2,16198.33333,"[712, 123166]","[6325, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23468,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2597435&r2=0&r3=0&r4=0&p0=67561&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + (Â·)CH2OH,CH3OH + HCO,"['CH2O', '(·)CH2OH']","['CH3OH', 'HCO']","[5375, 1209]","[6488, 8152]",TRUE,TRUE,TRUE,TRUE,2,24500,"[712, 137654]","[887, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23472,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2396012&r2=0&r3=0&r4=0&p0=71432&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + Phenyl,Benzene + HCO,"['CH2O', 'Phenyl']","['Benzene', 'HCO']","[5375, 9217]","[2882, 8152]",TRUE,TRUE,TRUE,TRUE,2,158,"[712, 123159]","[241, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23475,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2229074&r2=0&r3=0&r4=0&p0=2154509&p1=0&p2=0&p3=0&p4=0&expandResults=true&,4,CH2O + Â·CH3,CH3CH2OÂ·,"['CH2O', '·CH3']",['CH3CH2O·'],"[5375, 11147]",[6121],TRUE,TRUE,TRUE,FALSE,2,22321.5,"[712, 3034819]",[137452],"[ 0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0. -1.  0.  0.]"
23476,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2229074&r2=0&r3=0&r4=0&p0=74828&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,18,CH2O + Â·CH3,CH4 + HCO,"['CH2O', '·CH3']","['CH4', 'HCO']","[5375, 11147]","[6597, 8152]",TRUE,TRUE,TRUE,TRUE,2,22893.46154,"[712, 3034819]","[297, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23477,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2143682&r2=0&r3=0&r4=0&p0=67561&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,3,CH2O + CH3OÂ·,CH3OH + HCO,"['CH2O', 'CH3O·']","['CH3OH', 'HCO']","[5375, 6504]","[6488, 8152]",TRUE,TRUE,TRUE,TRUE,2,-2100,"[712, 123146]","[887, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0. -1.  0.  1.  0.  0.]"
23480,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2143615&r2=0&r3=0&r4=0&p0=74986&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,2,CH2O + 1-C3H7,C3H8 + HCO,"['CH2O', '1-C3H7']","['C3H8', 'HCO']","[5375, 1553]","[3735, 8152]",TRUE,TRUE,TRUE,TRUE,2,28550,"[712, 123145]","[6334, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23484,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2122487&r2=0&r3=0&r4=0&p0=74862&p1=630080&p2=12385136&p3=0&p4=0&expandResults=true&,1,CH2O + Â·C2H,C2H2 + CO + HÂ·,"['CH2O', '·C2H']","['C2H2', 'CO', 'H·']","[5375, 10933]","[3537, 6775, 8457]",TRUE,TRUE,TRUE,TRUE,2,,"[712, 123271]","[6326, 281, 5362549]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  1.  0.  0.  0.  0.]"
23486,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2025561&r2=0&r3=0&r4=0&p0=74840&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + Â·C2H5,C2H6 + HCO,"['CH2O', '·C2H5']","['C2H6', 'HCO']","[5375, 10935]","[3689, 8152]",TRUE,TRUE,TRUE,TRUE,2,24500,"[712, 123138]","[6324, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23489,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=2025550&r2=0&r3=0&r4=0&p0=74986&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + iso-C3H7,C3H8 + HCO,"['CH2O', 'iso-C3H7']","['C3H8', 'HCO']","[5375, 10406]","[3735, 8152]",TRUE,TRUE,TRUE,TRUE,2,29100,"[712, 137284]","[6334, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23490,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=1981802&r2=0&r3=0&r4=0&p0=115071&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + Â·CH2CH=CH2,CH3CH=CH2 + HCO,"['CH2O', '·CH2CH=CH2']","['CH3CH=CH2', 'HCO']","[5375, 11090]","[6152, 8152]",TRUE,TRUE,TRUE,TRUE,2,76100,"[712, 123136]","[8252, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23492,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=1605738&r2=0&r3=0&r4=0&p0=75285&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + tert-C4H9,iso-C4H10 + HCO,"['CH2O', 'tert-C4H9']","['iso-C4H10', 'HCO']","[5375, 10780]","[10423, 8152]",TRUE,TRUE,TRUE,TRUE,2,14900,"[712, 137103]","[6360, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23494,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=1333740&r2=0&r3=0&r4=0&p0=67561&p1=0&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O + H2,CH3OH,"['CH2O', 'H2']",['CH3OH'],"[5375, 7937]",[6488],TRUE,TRUE,TRUE,TRUE,2,292000,"[712, 783]",[887],"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.
  1.  0.  0. -1.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23504,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=57125&r2=0&r3=0&r4=0&p0=74908&p1=2597446&p2=0&p3=0&p4=0&expandResults=true&,3,CH2O + CN,HCN + HCO,"['CH2O', 'CN']","['HCN', 'HCO']","[5375, 6759]","[8147, 8152]",TRUE,TRUE,TRUE,TRUE,2,-5970,"[712, 5975]","[768, 123370]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0. -1.  0.  0.  0.  0.]"
23508,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=0&r2=0&r3=0&r4=0&p0=2597446&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,22,CH2O,HCO + HÂ·,['CH2O'],"['HCO', 'H·']",[5375],"[8152, 8457]",TRUE,TRUE,TRUE,TRUE,2,338578.9474,[712],"[123370, 5362549]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1. -1.  0.  0.  0.  0.]"
23509,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=0&r2=0&r3=0&r4=0&p0=1333740&p1=7782447&p2=0&p3=0&p4=0&expandResults=true&,1,CH2O,H2 + O2,['CH2O'],"['H2', 'O2']",[5375],"[7937, 8924]",TRUE,TRUE,TRUE,TRUE,1,,[712],"[783, 977]","[-1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  2.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23510,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=50000&r1=0&r2=0&r3=0&r4=0&p0=630080&p1=1333740&p2=0&p3=0&p4=0&expandResults=true&,14,CH2O,CO + H2,['CH2O'],"['CO', 'H2']",[5375],"[6775, 7937]",TRUE,TRUE,TRUE,TRUE,2,243363.6364,[712],"[281, 783]","[-1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23566,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=17778802&r2=0&r3=0&r4=0&p0=17778802&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,2,O(1D) + OÂ·,OÂ· + OÂ·,"['O(1D)', 'O·']","['O·', 'O·']","[8919, 9109]","[9109, 9109]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 159832]","[159832, 159832]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23568,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=14332286&r2=0&r3=0&r4=0&p0=3352576&p1=10102439&p2=0&p3=0&p4=0&expandResults=true&,1,O(1D) + HNO,Â·OH + NO,"['O(1D)', 'HNO']","['·OH', 'NO']","[8919, 8215]","[11206, 8814]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 945]","[157350, 145068]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0. -1.  0.  0.  0.]"
23570,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=13983205&r2=0&r3=0&r4=0&p0=12385136&p1=13587547&p2=0&p3=0&p4=0&expandResults=true&,3,O(1D) + HD,HÂ· + OD,"['O(1D)', 'HD']","['H·', 'OD']","[8919, 8176]","[8457, 9003]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 167583]","[5362549, 6914119]","[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  0.  0.  0.]"
23571,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=13983205&r2=0&r3=0&r4=0&p0=3352576&p1=16873179&p2=0&p3=0&p4=0&expandResults=true&,1,O(1D) + HD,Â·OH + D,"['O(1D)', 'HD']","['·OH', 'D']","[8919, 8176]","[11206, 7510]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 167583]","[157350, 5460635]","[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  0.  0.  0.]"
23577,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10102440&r2=0&r3=0&r4=0&p0=10102440&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,2,O(1D) + NO2,NO2 + OÂ·,"['O(1D)', 'NO2']","['NO2', 'O·']","[8919, 8818]","[8818, 9109]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 3032552]","[3032552, 159832]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23578,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10102440&r2=0&r3=0&r4=0&p0=7782447&p1=10102439&p2=0&p3=0&p4=0&expandResults=true&,4,O(1D) + NO2,O2 + NO,"['O(1D)', 'NO2']","['O2', 'NO']","[8919, 8818]","[8924, 8814]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 3032552]","[977, 145068]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0. -1.  2.  0.  0.]"
23579,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10102439&r2=0&r3=0&r4=0&p0=10102439&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,1,O(1D) + NO,NO + OÂ·,"['O(1D)', 'NO']","['NO', 'O·']","[8919, 8814]","[8814, 9109]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 145068]","[145068, 159832]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23580,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10102439&r2=0&r3=0&r4=0&p0=7782447&p1=17778880&p2=0&p3=0&p4=0&expandResults=true&,5,O(1D) + NO,O2 + N,"['O(1D)', 'NO']","['O2', 'N']","[8919, 8814]","[8924, 8651]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 145068]","[977, 57370662]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
23581,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10102439&r2=0&r3=0&r4=0&p0=-1003&p1=10102439&p2=0&p3=0&p4=0&expandResults=true&,1,O(1D) + NO,O(3P) + NO,"['O(1D)', 'NO']","['O(3P)', 'NO']","[8919, 8814]","[8921, 8814]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 145068]","[159832, 145068]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23582,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10035106&r2=0&r3=0&r4=0&p0=12385136&p1=15656196&p2=0&p3=0&p4=0&expandResults=true&,1,O(1D) + HBr,HÂ· + BrO,"['O(1D)', 'HBr']","['H·', 'BrO']","[8919, 8030]","[8457, 3390]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 260]","[5362549, 5460627]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  1.  0.  0.]"
23584,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10028156&r2=0&r3=0&r4=0&p0=10028156&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,2,O(1D) + O3,O3 + OÂ·,"['O(1D)', 'O3']","['O3', 'O·']","[8919, 8934]","[8934, 9109]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 24823]","[24823, 159832]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
23585,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10028156&r2=0&r3=0&r4=0&p0=7782447&p1=17778802&p2=17778802&p3=0&p4=0&expandResults=true&,3,O(1D) + O3,O2 + OÂ· + OÂ·,"['O(1D)', 'O3']","['O2', 'O·', 'O·']","[8919, 8934]","[8924, 9109, 9109]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 24823]","[977, 159832, 159832]","[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  0.  0.]"
23586,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10028156&r2=0&r3=0&r4=0&p0=7782447&p1=7782447&p2=0&p3=0&p4=0&expandResults=true&,19,O(1D) + O3,O2 + O2,"['O(1D)', 'O3']","['O2', 'O2']","[8919, 8934]","[8924, 8924]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 24823]","[977, 977]","[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
23588,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10024972&r2=0&r3=0&r4=0&p0=10102440&p1=17778880&p2=0&p3=0&p4=0&expandResults=true&,1,O(1D) + N2O,NO2 + N,"['O(1D)', 'N2O']","['NO2', 'N']","[8919, 8702]","[8818, 8651]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 948]","[3032552, 57370662]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0. -1.  0.  0.  0.]"
23589,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10024972&r2=0&r3=0&r4=0&p0=10102439&p1=10102439&p2=0&p3=0&p4=0&expandResults=true&,9,O(1D) + N2O,NO + NO,"['O(1D)', 'N2O']","['NO', 'NO']","[8919, 8702]","[8814, 8814]",TRUE,TRUE,TRUE,TRUE,2,-873,"[159832, 948]","[145068, 145068]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0. -2.  1.  0.  0.]"
23590,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=-1000&r1=10024972&r2=0&r3=0&r4=0&p0=10024972&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,4,O(1D) + N2O,N2O + OÂ·,"['O(1D)', 'N2O']","['N2O', 'O·']","[8919, 8702]","[8702, 9109]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 948]","[948, 159832]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
